# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	71858	72049	+	MKHGBK_00545		YdeI/OmpD-associated family protein	SO:0001217, UniRef:UniRef50_A0A1L7NP92, UniRef:UniRef90_A0A1L7NP92
contig_1	cds	72271	72582	-	MKHGBK_00550		(pseudo) Nucleoside hydrolase	SO:0001217, UniRef:UniRef50_A0A3E1UMQ1, UniRef:UniRef90_A0A0C1KCT9
contig_1	cds	72792	73121	-	MKHGBK_00555	copG	CopG family transcriptional regulator	RefSeq:WP_023662045.1, SO:0001217, UniParc:UPI0003CCC461, UniRef:UniRef100_A0A3G1DGK8, UniRef:UniRef50_A0A1L7NPC4, UniRef:UniRef90_A0A3G1DGK8
contig_1	cds	73400	73630	+	MKHGBK_00560		Zf-HC2 domain-containing protein	RefSeq:WP_023662046.1, SO:0001217, UniParc:UPI0003CCD440, UniRef:UniRef100_A0A3G1DGJ6, UniRef:UniRef50_A0A3E1UMN3, UniRef:UniRef90_A0A1L7NPD6
contig_1	cds	73823	74803	+	MKHGBK_00565	tnp	IS5 family ISPa95 transposase	IS:ISPa95, RefSeq:WP_064613796.1, SO:0001217, UniParc:UPI0007DE0ED0, UniRef:UniRef100_A0A173H9T1, UniRef:UniRef90_N2IS10
contig_1	cds	75034	75387	+	MKHGBK_00570		Lipoprotein	SO:0001217, UniParc:UPI0004CE275F, UniRef:UniRef100_A0A0C1HUD7, UniRef:UniRef50_A0A0C1HUD7, UniRef:UniRef90_A0A0C1HUD7
contig_1	cds	75566	75817	+	MKHGBK_00575		Phosphoenolpyruvate carboxylase	RefSeq:WP_023662048.1, SO:0001217, UniParc:UPI0003CCD7C7, UniRef:UniRef100_A0A3G1DGJ8, UniRef:UniRef50_A0A1L7NP86, UniRef:UniRef90_A0A3G1DGJ8
contig_1	cds	75953	76234	-	MKHGBK_00580		DUF2288 domain-containing protein	RefSeq:WP_023662049.1, SO:0001217, UniParc:UPI0003CCD59B, UniRef:UniRef100_A0A3G1DGK7, UniRef:UniRef50_A0A1L7NP87, UniRef:UniRef90_A0A1L7NP87
contig_1	cds	76609	76893	+	MKHGBK_00585		DUF2384 domain-containing protein	RefSeq:WP_004577594.1, SO:0001217, UniParc:UPI0002D18507, UniRef:UniRef100_A0A3G1DGL0, UniRef:UniRef50_A0A2A3LXF6, UniRef:UniRef90_A0A3G1DGL0
contig_1	cds	77088	77270	-	MKHGBK_00590		DUF3072 domain-containing protein	RefSeq:WP_004577593.1, SO:0001217, UniParc:UPI0002D17E2E, UniRef:UniRef100_A0A3G1DGF7, UniRef:UniRef50_A0A166QTS7, UniRef:UniRef90_A0A3G1DGF7
contig_1	cds	77309	77494	-	MKHGBK_00595		Spore coat protein	RefSeq:WP_023662050.1, SO:0001217, UniParc:UPI0003CCCD0F, UniRef:UniRef100_A0A3G1DH28, UniRef:UniRef50_A0A1L7NP99, UniRef:UniRef90_A0A1L7NP99
contig_1	cds	77623	78267	-	MKHGBK_00600		DUF2294 domain-containing protein	RefSeq:WP_039614347.1, SO:0001217, UniParc:UPI00057C820E, UniRef:UniRef100_A0A3G1HJN5, UniRef:UniRef50_A0A2A3LX88, UniRef:UniRef90_A0A1L7NP89
contig_1	cds	78407	78679	+	MKHGBK_00605		DUF3077 domain-containing protein	RefSeq:WP_023662056.1, SO:0001217, UniParc:UPI0003CCC852, UniRef:UniRef100_A0A3G1DG75, UniRef:UniRef50_A0A136Q9U6, UniRef:UniRef90_A0A1L7NPD3
contig_1	cds	78942	79241	+	MKHGBK_00610		DUF3085 domain-containing protein	RefSeq:WP_023662057.1, SO:0001217, UniParc:UPI0003CCC40B, UniRef:UniRef100_A0A3G1DGL9, UniRef:UniRef50_A0A1L7NPE6, UniRef:UniRef90_A0A1L7NPE6
contig_1	cds	79704	80057	+	MKHGBK_00615		Peptidase-S8 domain-containing protein	RefSeq:WP_144000655.1, SO:0001217, UniParc:UPI000F6F32F9, UniRef:UniRef100_A0A3G1DGK5, UniRef:UniRef50_A0A3G1DGK5, UniRef:UniRef90_A0A3G1DGK5
contig_1	cds	80068	80688	+	MKHGBK_00620		Transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A3G1DGL8, UniRef:UniRef90_A0A3G1DGL8
contig_1	cds	80824	81036	+	MKHGBK_00625		DDE-Tnp-ISL3 domain-containing protein	RefSeq:WP_004577587.1, SO:0001217, UniParc:UPI0002D20C6C, UniRef:UniRef100_A0A3G1DGL3, UniRef:UniRef50_A0A5E7MZ60, UniRef:UniRef90_A0A3G1DGL3
contig_1	cds	81300	82175	+	MKHGBK_00630		SprT-like domain-containing protein	RefSeq:WP_172688335.1, SO:0001217, UniParc:UPI000F717801, UniRef:UniRef100_A0A3G1DGL6, UniRef:UniRef50_A0A136QAL0, UniRef:UniRef90_A0A1L7NPA0
contig_1	cds	82235	82735	+	MKHGBK_00635		Adenosylcobinamide amidohydrolase	RefSeq:WP_004577585.1, SO:0001217, UniParc:UPI0002D149EE, UniRef:UniRef100_A0A3G1DGL7, UniRef:UniRef50_A0A0C1KLD4, UniRef:UniRef90_A0A0C1KLD4
contig_1	cds	82847	83353	+	MKHGBK_00640		Fatty-acid--CoA ligase	RefSeq:WP_004577584.1, SO:0001217, UniParc:UPI0002D1F6B9, UniRef:UniRef100_A0A3G1DGG6, UniRef:UniRef50_A0A136QBN9, UniRef:UniRef90_A0A0C1K9W7
contig_1	cds	83603	84007	+	MKHGBK_00645	dksA	RNA polymerase-binding transcription factor DksA	RefSeq:WP_144000633.1, SO:0001217, UniParc:UPI0011815DE2, UniRef:UniRef100_A0A3G1DH34, UniRef:UniRef50_A0A7X2CKZ2, UniRef:UniRef90_A0A3G1DH34
contig_1	cds	84058	84378	+	MKHGBK_00650		Arc domain-containing protein	RefSeq:WP_223817445.1, SO:0001217, UniParc:UPI001CC1E3A4, UniRef:UniRef100_UPI001CC1E3A4, UniRef:UniRef50_A0A0C1HRB6, UniRef:UniRef90_A0A0C1HRB6
contig_1	cds	84391	85179	+	MKHGBK_00655		COesterase domain-containing protein	RefSeq:WP_144000632.1, SO:0001217, UniParc:UPI000F717BDB, UniRef:UniRef100_A0A3G1DGL4, UniRef:UniRef50_A0A2A3LXE9, UniRef:UniRef90_A0A1L7NPE0
contig_1	cds	85293	86213	+	MKHGBK_00660	rdgC	recombination-associated protein RdgC	RefSeq:WP_004577580.1, SO:0001217, UniParc:UPI0002D1A492, UniRef:UniRef100_A0A3G1DGM8, UniRef:UniRef50_Q88M72, UniRef:UniRef90_R9V5Y6
contig_1	cds	86382	87023	+	MKHGBK_00665		CRISPR-associated endonuclease Cas1	SO:0001217, UniRef:UniRef50_A0A5C7W1P8, UniRef:UniRef90_UPI001E2B74B1
contig_1	cds	87290	88411	+	MKHGBK_00670		Integrase	RefSeq:WP_003246636.1, SO:0001217, UniParc:UPI000278691F, UniRef:UniRef100_A0A2S4AK69, UniRef:UniRef50_A0A2S4AK69, UniRef:UniRef90_A0A2S4AK69
contig_1	cds	88404	90464	+	MKHGBK_00675		Integrase	RefSeq:WP_015275424.1, SO:0001217, UniParc:UPI0002A1861E, UniRef:UniRef100_L0GH00, UniRef:UniRef50_L0GH00, UniRef:UniRef90_L0GH00
contig_1	cds	90457	92328	+	MKHGBK_00680		Tyr recombinase domain-containing protein	RefSeq:WP_160330849.1, SO:0001217, UniParc:UPI000B03FE5A, UniRef:UniRef100_UPI000B03FE5A, UniRef:UniRef50_A0A2S4AK46, UniRef:UniRef90_A0A2S4AK46
contig_1	cds	92321	92791	+	MKHGBK_00685		KfrA-N domain-containing protein	RefSeq:WP_225775528.1, SO:0001217, UniParc:UPI0012AABBAE, UniRef:UniRef100_A0A653B5U4, UniRef:UniRef50_A0A136QA58, UniRef:UniRef90_A0A2S4AKY2
contig_1	cds	92975	93754	-	MKHGBK_00690		IS5 family transposase	SO:0001217, UniRef:UniRef50_Q5GVP6, UniRef:UniRef90_UPI0015A2311D
contig_1	cds	93747	94592	-	MKHGBK_00695		IS3 family transposase	SO:0001217, UniParc:UPI0002A1813B, UniRef:UniRef100_L0GIB1, UniRef:UniRef50_A0A2X2E054, UniRef:UniRef90_A0A2X2E054
contig_1	cds	94619	94897	-	MKHGBK_00700		Transposase family protein	SO:0001217, UniParc:UPI00014FF355, UniRef:UniRef100_L0GQ29, UniRef:UniRef50_B6CGY0, UniRef:UniRef90_A4VJM6
contig_1	cds	94938	95189	-	MKHGBK_00705		DUF772 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6S4V3D7, UniRef:UniRef90_A0A6S4V3D7
contig_1	cds	95651	96478	+	MKHGBK_00710	phnC	phosphonate ABC transporter ATP-binding protein	COG:COG3638, COG:P, EC:7.6.2.-, GO:0005524, GO:0005886, GO:0015416, RefSeq:WP_003118432.1, SO:0001217, UniParc:UPI00001329E0, UniRef:UniRef100_O69051, UniRef:UniRef50_O69051, UniRef:UniRef90_O69051
contig_1	cds	96475	97338	+	MKHGBK_00715	ptxB	putative phosphite transport system-binding protein PtxB	COG:COG3221, COG:P, GO:0043190, GO:0055085, RefSeq:WP_010562501.1, SO:0001217, UniParc:UPI000157AA9C, UniRef:UniRef100_A0A0R2ZFU1, UniRef:UniRef50_O69052, UniRef:UniRef90_O69052
contig_1	cds	97347	98174	+	MKHGBK_00720	phnE	phosphonate ABC transporter, permease protein PhnE	COG:COG3639, COG:P, GO:0015416, GO:0043190, RefSeq:WP_010466252.1, SO:0001217, UniParc:UPI000157AA9B, UniRef:UniRef100_A0A7M2J6H4, UniRef:UniRef50_O69053, UniRef:UniRef90_O69053
contig_1	cds	98183	99193	+	MKHGBK_00725	ptxD	phosphonate dehydrogenase PtxD	BlastRules:WP_003118429, COG:CHR, COG:COG1052, EC:1.20.1.1, GO:0016616, GO:0050609, GO:0051287, KEGG:K18916, RefSeq:WP_003127732.1, SO:0001217, UniParc:UPI000157AA9A, UniRef:UniRef100_A0A0R2ZFC9, UniRef:UniRef50_O69054, UniRef:UniRef90_O69054
contig_1	cds	99187	100056	+	MKHGBK_00730	lysR	DNA-binding transcriptional regulator, LysR family	COG:COG0583, COG:K, RefSeq:WP_003127731.1, SO:0001217, UniParc:UPI000157AA99, UniRef:UniRef100_A0A0R2ZEY1, UniRef:UniRef50_O69055, UniRef:UniRef90_O69055
contig_1	cds	100415	101218	-	MKHGBK_00735	istB	IS21-like element ISPst3 family helper ATPase IstB	BlastRules:WP_011911830, COG:COG1484, COG:L, RefSeq:WP_013983152.1, SO:0001217, UniParc:UPI000215D7E9, UniRef:UniRef100_A0A8G3R3Q0, UniRef:UniRef50_A0A109LD79, UniRef:UniRef90_A0A109LD79
contig_1	cds	101211	102719	-	MKHGBK_00740	tnp	IS21 family ISPst3 transposase	COG:COG4584, COG:X, IS:ISPst3, SO:0001217, UniRef:UniRef50_A0A254MZY1, UniRef:UniRef90_A0A3G9IFR5
contig_1	cds	102803	102901	-	MKHGBK_00745		hypothetical protein	
contig_1	cds	103376	103735	+	MKHGBK_00750		Transcriptional regulator	RefSeq:WP_100413061.1, SO:0001217, UniParc:UPI000C231549, UniRef:UniRef100_UPI000C231549, UniRef:UniRef50_A0A5E7N128, UniRef:UniRef90_A0A1X0ZDN7
contig_1	cds	103728	103925	-	MKHGBK_00755		hypothetical protein	
contig_1	cds	104397	104660	+	MKHGBK_00760		hypothetical protein	RefSeq:WP_233097287.1, SO:0001217, UniParc:UPI001E474D1A, UniRef:UniRef100_UPI001E474D1A, UniRef:UniRef50_UPI001E3AF4E4, UniRef:UniRef90_UPI001E474D1A
contig_1	cds	105050	105271	+	MKHGBK_00765		hypothetical protein	
contig_1	cds	105219	105866	-	MKHGBK_00770		IS30 family transposase	SO:0001217, UniRef:UniRef50_A0A0D7E642, UniRef:UniRef90_UPI000DED25A6
contig_1	cds	106131	107111	+	MKHGBK_00775	tnp	IS5 family ISPa95 transposase	IS:ISPa95, RefSeq:WP_064613796.1, SO:0001217, UniParc:UPI0007DE0ED0, UniRef:UniRef100_A0A173H9T1, UniRef:UniRef90_N2IS10
contig_1	cds	107247	107426	-	MKHGBK_00780		hypothetical protein	PFAM:PF13936.9
contig_1	cds	107471	112336	+	MKHGBK_00785		Nuclease-related domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1I4FU34, UniRef:UniRef90_A0A1I4FU34
contig_1	cds	112329	113852	+	MKHGBK_00790		SWIM-type domain-containing protein	RefSeq:WP_100412844.1, SO:0001217, UniParc:UPI000C24DD42, UniRef:UniRef100_UPI000C24DD42, UniRef:UniRef50_A0A1I4FVW5, UniRef:UniRef90_A0A1I4FVW5
contig_1	cds	114067	114789	+	MKHGBK_00795		DUF4065 domain-containing protein	RefSeq:WP_233097293.1, SO:0001217, UniParc:UPI001E629B87, UniRef:UniRef100_UPI001E629B87, UniRef:UniRef50_B1J3X2, UniRef:UniRef90_UPI001E629B87
contig_1	cds	115182	115904	+	MKHGBK_00800		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI001F5222AD, UniRef:UniRef90_UPI001F5222AD
contig_1	cds	115901	116368	+	MKHGBK_00805		IS30 family transposase	SO:0001217, UniRef:UniRef50_A0A0Q0A0Q6, UniRef:UniRef90_UPI0015E44B24
contig_1	cds	116407	116841	+	MKHGBK_00810		IS30 family transposase	SO:0001217, UniRef:UniRef50_A0A3T1DQ45, UniRef:UniRef90_A0A6M3UV79
contig_1	cds	116940	117257	+	MKHGBK_00815		Ribosomal protein L10	SO:0001217, UniRef:UniRef50_A0A8G4MSH1
contig_1	cds	117325	117900	-	MKHGBK_00820		HEPN-Swt1 domain-containing protein	RefSeq:WP_137108945.1, SO:0001217, UniParc:UPI0010C11CC4, UniRef:UniRef100_UPI0010C11CC4, UniRef:UniRef50_A0A1H1WNY1, UniRef:UniRef90_UPI0010C11CC4
contig_1	cds	117983	118519	-	MKHGBK_00825		Lipoprotein	RefSeq:WP_233097288.1, SO:0001217, UniParc:UPI001E657DF3, UniRef:UniRef100_UPI001E657DF3, UniRef:UniRef50_W0MRN2, UniRef:UniRef90_UPI001E657DF3
contig_1	cds	118850	119173	-	MKHGBK_00830		helix-turn-helix domain-containing protein	RefSeq:WP_100412841.1, SO:0001217, UniParc:UPI000C2431E1, UniRef:UniRef100_UPI000C2431E1, UniRef:UniRef50_L1M582, UniRef:UniRef90_UPI000C2431E1
contig_1	cds	119261	119677	+	MKHGBK_00835		DUF5060 domain-containing protein	RefSeq:WP_100412840.1, SO:0001217, UniParc:UPI000C248AA4, UniRef:UniRef100_UPI000C248AA4, UniRef:UniRef50_A0A1Q5WRF7, UniRef:UniRef90_UPI001F52507B
contig_1	cds	119686	120045	-	MKHGBK_00840		Transposase	RefSeq:WP_100412839.1, SO:0001217, UniParc:UPI000C239B16, UniRef:UniRef100_UPI000C239B16, UniRef:UniRef50_S2FJW9, UniRef:UniRef90_UPI000C239B16
contig_1	cds	120042	120320	-	MKHGBK_00845		hypothetical protein	
contig_1	cds	120446	121426	+	MKHGBK_00850	tnp	IS5 family ISPa95 transposase	IS:ISPa95, RefSeq:WP_064613796.1, SO:0001217, UniParc:UPI0007DE0ED0, UniRef:UniRef100_A0A173H9T1, UniRef:UniRef90_N2IS10
contig_1	cds	121562	123628	-	MKHGBK_00855		Core-binding (CB) domain-containing protein	SO:0001217, UniRef:UniRef50_S2ET18, UniRef:UniRef90_UPI001F5197C9
contig_1	cds	123637	125241	-	MKHGBK_00860		site-specific integrase	RefSeq:WP_233097289.1, SO:0001217, UniParc:UPI001E64DF19, UniRef:UniRef100_UPI001E64DF19, UniRef:UniRef50_A0A0M3CQH1, UniRef:UniRef90_UPI001F520069
contig_1	cds	125234	126430	-	MKHGBK_00865		tyrosine-type recombinase/integrase	RefSeq:WP_100412847.1, SO:0001217, UniParc:UPI000C231DB9, UniRef:UniRef100_UPI000C231DB9, UniRef:UniRef50_I3UUZ5, UniRef:UniRef90_UPI000C231DB9
contig_1	cds	126968	127120	+	MKHGBK_00870		Formate dehydrogenase	RefSeq:WP_016487031.1, SO:0001217, UniParc:UPI00034EFCEE, UniRef:UniRef100_A0A3G1DGM3, UniRef:UniRef50_V7D8G1, UniRef:UniRef90_A0A3G1DGM3
contig_1	cds	127222	127545	+	MKHGBK_00875		SLATT-4 domain-containing protein	RefSeq:WP_031324888.1, SO:0001217, UniParc:UPI0004CEA961, UniRef:UniRef100_A0A3G1DGM9, UniRef:UniRef50_A0A7X2BX51, UniRef:UniRef90_A0A6B7Q524
contig_1	cds	127696	127968	+	MKHGBK_00880		Phage protein	RefSeq:WP_004574344.1, SO:0001217, UniParc:UPI0002D16BA2, UniRef:UniRef100_A0A3G1DGH0, UniRef:UniRef50_A0A136QAX1, UniRef:UniRef90_A0A3G1DGH0
contig_1	cds	128343	128819	+	MKHGBK_00885		Glycogen debranching enzyme	RefSeq:WP_023662067.1, SO:0001217, UniParc:UPI0003CCD677, UniRef:UniRef100_A0A3G1HJN2, UniRef:UniRef50_A0A136QBP3, UniRef:UniRef90_A0A2S3WJQ8
contig_1	cds	129137	129385	+	MKHGBK_00890		Molybdenum ABC transporter permease	RefSeq:WP_023662068.1, SO:0001217, UniParc:UPI0003CCC3DB, UniRef:UniRef100_A0A3G1DG83, UniRef:UniRef50_R9VF64, UniRef:UniRef90_R9VF64
contig_1	cds	129534	129776	+	MKHGBK_00895		Permease	RefSeq:WP_023662069.1, SO:0001217, UniParc:UPI0003CCCC42, UniRef:UniRef100_A0A3G1DGN6, UniRef:UniRef50_A0A136QBN0, UniRef:UniRef90_A0A1L7NPF2
contig_1	cds	129785	130525	+	MKHGBK_00900		Regulator of polyketide synthase expression	SO:0001217, UniRef:UniRef50_A0A1L7NPI7, UniRef:UniRef90_A0A1L7NPI7
contig_1	cds	130528	130788	+	MKHGBK_00905		Conserved membrane protein	SO:0001217, UniParc:UPI0003CCD3AC, UniRef:UniRef100_A0A3G1DGN7, UniRef:UniRef50_A0A1L7NPL0, UniRef:UniRef90_A0A1L7NPL0
contig_1	cds	130785	131726	+	MKHGBK_00910	lepB	signal peptidase I	EC:3.4.21.89, KEGG:K03100, RefSeq:WP_023662072.1, SO:0001217, UniParc:UPI0003CCD2BF, UniRef:UniRef100_A0A3G1DGN1, UniRef:UniRef50_A0A2A3LXA8, UniRef:UniRef90_A0A3G1DGN1
contig_1	cds	131842	132372	+	MKHGBK_00915		Baseplate-J domain-containing protein	RefSeq:WP_023662073.1, SO:0001217, UniParc:UPI0003CCC4A8, UniRef:UniRef100_A0A0C1I0R7, UniRef:UniRef50_A0A136QBM3, UniRef:UniRef90_A0A1L7NPJ3
contig_1	cds	132513	132758	+	MKHGBK_00920		hypothetical protein	RefSeq:WP_023662074.1, SO:0001217, UniParc:UPI0003CCD675, UniRef:UniRef100_A0A3G1DGN8, UniRef:UniRef50_A0A1L7NPF7, UniRef:UniRef90_A0A1L7NPF7
contig_1	cds	132759	133379	+	MKHGBK_00925		XRE family transcriptional regulator	RefSeq:WP_023662075.1, SO:0001217, UniParc:UPI0003CCD83F, UniRef:UniRef100_A0A3G1DGH7, UniRef:UniRef50_A0A5E7N102, UniRef:UniRef90_A0A1L7NPG1
contig_1	cds	133485	134117	+	MKHGBK_00930		Conjugal transfer protein	RefSeq:WP_023662076.1, SO:0001217, UniParc:UPI0003CCC0BD, UniRef:UniRef100_A0A3G1DH48, UniRef:UniRef50_A0A2A3LYE0, UniRef:UniRef90_A0A1L7NPK1
contig_1	cds	134285	134842	+	MKHGBK_00935		DUF4145 domain-containing protein	RefSeq:WP_196765153.1, SO:0001217, UniParc:UPI000B30FFC0, UniRef:UniRef100_A0A3G1HJN1, UniRef:UniRef50_A0A3G1HJN1, UniRef:UniRef90_A0A3G1HJN1
contig_1	cds	134854	135258	+	MKHGBK_00940		DUF2846 domain-containing protein	RefSeq:WP_023662078.1, SO:0001217, UniParc:UPI0003CCD939, UniRef:UniRef100_A0A3G1DG87, UniRef:UniRef50_A0A136Q9R6, UniRef:UniRef90_A0A1L7NPH1
contig_1	cds	135388	136182	+	MKHGBK_00945		DUF2339 domain-containing protein	RefSeq:WP_144000628.1, SO:0001217, UniParc:UPI000F6D12D7, UniRef:UniRef100_A0A3G1DGP0, UniRef:UniRef50_A0A0C1I0R3, UniRef:UniRef90_A0A0C1I0R3
contig_1	cds	136189	136827	+	MKHGBK_00950		HTH cro/C1-type domain-containing protein	RefSeq:WP_172688345.1, SO:0001217, UniParc:UPI000F6CE234, UniRef:UniRef100_A0A3G1DGN4, UniRef:UniRef50_A0A1L7NPJ7, UniRef:UniRef90_A0A1L7NPJ7
contig_1	cds	136883	137197	+	MKHGBK_00955		Aldehyde-activating protein	SO:0001217, UniParc:UPI000F6D6316, UniRef:UniRef100_A0A3G1DGP2, UniRef:UniRef50_A0A1L7NPM0, UniRef:UniRef90_A0A1L7NPM0
contig_1	cds	137247	138233	-	MKHGBK_00960	parB	ParB domain-containing protein	RefSeq:WP_023662083.1, SO:0001217, UniParc:UPI0003CCC8C0, UniRef:UniRef100_A0A3G1DGP4, UniRef:UniRef50_A0A1L7NPK6, UniRef:UniRef90_A0A3G1DGP4
contig_1	cds	138408	139205	-	MKHGBK_00965		RNase III domain-containing protein	RefSeq:WP_023662084.1, SO:0001217, UniParc:UPI0003CCCAF9, UniRef:UniRef100_A0A3G1DGN9, UniRef:UniRef50_A0A3E1UNY1, UniRef:UniRef90_A0A3G1DGN9
contig_1	cds	139333	139743	-	MKHGBK_00970		MmgE/PrpD family protein	RefSeq:WP_023662085.1, SO:0001217, UniParc:UPI0003CCBDB5, UniRef:UniRef100_A0A3G1DGP7, UniRef:UniRef50_A0A2A3LXG7, UniRef:UniRef90_A0A1L7NPH2
contig_1	cds	139803	140345	-	MKHGBK_00975		Peptidase M50	RefSeq:WP_054903276.1, SO:0001217, UniParc:UPI0006D3B50B, UniRef:UniRef100_A0A3G1DGI9, UniRef:UniRef50_A0A5E7N3E0, UniRef:UniRef90_A0A0C1I0Q7
contig_1	cds	140797	141453	+	MKHGBK_00980		PcfJ-like protein	RefSeq:WP_039614970.1, SO:0001217, UniParc:UPI00057F5701, UniRef:UniRef100_A0A3G1HJQ6, UniRef:UniRef50_A0A1L7NPK2, UniRef:UniRef90_A0A1L7NPK2
contig_1	cds	141569	143248	-	MKHGBK_00985		Autotransporter subunit beta	SO:0001217, UniRef:UniRef50_V7DAN1, UniRef:UniRef90_V7DAN1
contig_1	cds	143312	146278	-	MKHGBK_00990	tnpA	Tn3 family transposase	GO:0003677, GO:0004803, GO:0006313, RefSeq:WP_003090772.1, SO:0001217, UniParc:UPI0001B9ACA5, UniRef:UniRef100_D0E7K4, UniRef:UniRef50_P13694, UniRef:UniRef90_P51565
contig_1	cds	146282	146896	-	MKHGBK_00995	tnpR	TnpR	SO:0001217, UniParc:UPI0001BD18D8, UniRef:UniRef100_A0A2H4H7I5, UniRef:UniRef50_P04130, UniRef:UniRef90_F8T8V3
contig_1	cds	147217	148230	-	MKHGBK_01000	intI1	class 1 integron integrase IntI1	BlastRules:WP_000845054, COG:COG4974, COG:L, GO:0003677, GO:0006310, GO:0015074, GO:0044826, GO:0046718, GO:0075713, RefSeq:WP_000845048.1, SO:0001217, UniParc:UPI0000000166, UniRef:UniRef100_P62590, UniRef:UniRef50_P62590, UniRef:UniRef90_P62590
contig_1	ncRNA-region	148320	148386	+			putative aminoglycoside riboswitch / attI site	RFAM:RF02912, SO:0000035
contig_1	cds	148397	149197	+	MKHGBK_01005	blaVIM-4	subclass B1 metallo-beta-lactamase VIM-4	NCBIProtein:WP_032492008.1, RefSeq:WP_032492008.1, SO:0001217, UniParc:UPI00000BF10B, UniRef:UniRef100_A0A0G3AY79, UniRef:UniRef50_I6ZVA9, UniRef:UniRef90_A0A451F5F8
contig_1	cds	149485	149943	+	MKHGBK_01010	dfrA5	trimethoprim-resistant dihydrofolate reductase DfrA5	BlastRules:WP_001317507, NCBIProtein:WP_001317507.1, RefSeq:WP_000719074.1, SO:0001217, UniParc:UPI0000D5C048, UniRef:UniRef100_A0A4Y6L037, UniRef:UniRef90_P11731
contig_1	cds	150094	151320	+	MKHGBK_01015	ere(A)	EreA family erythromycin esterase	EC:3.1.1.-, GO:0046677, GO:0052689, NCBIProtein:WP_021566672.1, RefSeq:WP_021566672.1, SO:0001217, UniParc:UPI00000B5E06, UniRef:UniRef100_Q4W867, UniRef:UniRef50_P07684, UniRef:UniRef90_P07684
contig_1	cds	151503	151850	+	MKHGBK_01020	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	GO:0005886, GO:0022857, GO:0042221, NCBIProtein:WP_000679427.1, RefSeq:WP_000679427.1, SO:0001217, UniParc:UPI0000000BEC, UniRef:UniRef100_P0AA22, UniRef:UniRef50_P0AA22, UniRef:UniRef90_P0AA22
contig_1	cds	151844	152683	+	MKHGBK_01025	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	COG:COG0294, COG:H, EC:2.5.1.15, GO:0004156, GO:0046654, GO:0046656, GO:0046872, KEGG:K18974, NCBIProtein:WP_000259031.1, RefSeq:WP_000259031.1, SO:0001217, UniParc:UPI000000029B, UniRef:UniRef100_P0C002, UniRef:UniRef50_P0C002, UniRef:UniRef90_P0C002
contig_1	cds	152811	153311	+	MKHGBK_01030	yhbS	putative N-acetyltransferase YhbS	COG:COG3153, COG:R, SO:0001217, UniRef:UniRef50_A0A899NBB6, UniRef:UniRef90_A0A1L2ZNQ8
contig_1	cds	153294	153431	-	MKHGBK_01035		hypothetical protein	RefSeq:WP_000451483.1, SO:0001217, UniParc:UPI0001C4375A, UniRef:UniRef100_Q6I6D1, UniRef:UniRef50_Q6I6D1, UniRef:UniRef90_Q6I6D1
contig_1	cds	153818	154582	+	MKHGBK_01040	tnp	IS6-like element IS6100 family transposase	BlastRules:WP_001389365, RefSeq:WP_001389365.1, SO:0001217, UniParc:UPI00000BF4A2, UniRef:UniRef100_Q50HM3, UniRef:UniRef50_Q50HM3, UniRef:UniRef90_Q50HM3
contig_1	cds	154601	154831	-	MKHGBK_01045		hypothetical protein	
contig_1	cds	155016	156044	+	MKHGBK_01050	tnp	IS30 family ISPsp7 transposase	COG:COG2826, COG:X, IS:ISPsp7, RefSeq:WP_003283602.1, SO:0001217, UniParc:UPI00025495B0, UniRef:UniRef100_A0A345X0E4, UniRef:UniRef50_A0A3M3BIN7, UniRef:UniRef90_A0A023WXE8
contig_1	cds	156182	157108	+	MKHGBK_01055		HTH luxR-type domain-containing protein	RefSeq:WP_019838172.1, SO:0001217, UniParc:UPI00037A68C9, UniRef:UniRef100_A0A7S9H9F2, UniRef:UniRef50_A0A844NUV7, UniRef:UniRef90_A0A7S9H9F2
contig_1	cds	157115	157651	-	MKHGBK_01060		Acid-activated urea channel	RefSeq:WP_047471685.1, SO:0001217, UniParc:UPI000645A097, UniRef:UniRef100_A0A7S9H9H5, UniRef:UniRef50_A0A7S9H9H5, UniRef:UniRef90_A0A7S9H9H5
contig_1	cds	157764	158306	+	MKHGBK_01065		IS5 family transposase	SO:0001217, UniParc:UPI0002173DCA, UniRef:UniRef100_I3UNN8, UniRef:UniRef50_A0A0R1IR63, UniRef:UniRef90_I3UNN8
contig_1	cds	158664	158804	+	MKHGBK_01070		ADP-ribose pyrophosphatase	SO:0001217, UniRef:UniRef50_A0A6J5F8S0
contig_1	cds	158801	159034	+	MKHGBK_01075		hypothetical protein	
